Min,Max,Avg
0,152.7505,45.44268674219837
0,155.051375,45.556312771846585
0,152.792,45.2395610384463
0,143.333,42.36642188739096
0,148.94762500000002,44.38533662583959
0,152.3745,45.20537237415775
0,151.418,44.67055054151624
0,144.625,42.95512755405673
0,151.75,44.330547991967876
0,154.25,45.86678376189512
0,141.792,41.90522688407238
0,69.583,22.251029215358933
0,137.3745,40.97470578267316
0,139.293,41.805232158211524
0,136.543,41.18469387317909
0,136.6255,40.4773447474107
0,130.8755,38.90460884281786
0,134.3745,40.07773519386451
