Min,Max,Avg
0.0,4.98,1.405277280858676
0.0,4.98875,1.4002748121787267
0.0,4.98,1.4028200554894967
0.0,4.995,1.402496034892942
0.0,4.970000000000001,1.3973943105491902
0.0,4.995,1.4026912405866032
0.0,5.015000000000001,1.4154091456077014
0.0,4.995,1.4035131918270183
0.0,5.018750000000001,1.4166526104417672
0.0,5.01,1.429212391172302
0.0,4.98,1.4069795187910121
0.0,5.04,1.4662917362270451
0.0,4.96,1.3937089599661088
0.0,4.9937499999999995,1.413121238177128
0.0,4.98,1.4088003427592115
0.0,4.96,1.3909427182413865
0.0,4.96,1.3922170509837106
0.0,4.970000000000001,1.4003429910524072
