Min,Max,Avg
0,150.1875,45.43733929636255
0,151.69862500000002,45.30592843020957
0,152.0005,45.5054435196195
0,141.14075,42.529294409199046
0,145.58249999999998,43.82873429474516
0,148.8745,44.54031529924693
0,148.24,44.30203389490573
0,141.6255,42.56205356080144
0,148.2385,43.80578273092369
0,150.60475,45.2543810487953
0,138.542,41.51737900178962
0,67.083,21.7037902754591
0,136.0005,41.291171361999574
0,136.21887499999997,41.83278761822872
0,134.01049999999998,41.17579970008569
0,133.457,40.17240224054111
0,127.1675,38.577410408292785
0,131.625,39.87153451214316
