Min,Max,Avg
0,149.916,44.693930431325775
0,150.3015,44.45355871886121
0,150.8745,44.6237522790329
0,139.583,41.45298790642347
0,146.32362500000002,43.52152469379691
0,147.86450000000002,43.94403230281411
0,149.0415,44.06239630966707
0,141.01999999999998,41.96107657210871
0,149.625,43.75430361445783
0,150.332,44.8050840251063
0,138.333,40.959457148538476
0,68.083,21.7171108096828
0,134.95749999999998,40.489303113747084
0,135.3745,40.81834673258814
0,133.75,40.45047493573265
0,133.20749999999998,39.70030754597337
0,126.437,37.8947036175164
0,130.25,39.12966041755432
